 150
 10
 
 1990      5152      
  3338      5252     
  1629      4042     
  3250      4189     
  2234      4886     
  3000      5355     
  3637      4822     
  2217      4140     
  2919      4548     
  3807      5933     


  1990      5152        
  3338      5252        
  1629      4042        
  3250      4189        
  2234      4886        
  3000      5355        
  3637      4822        
  2217      4140        
  2919      4548        
  3807      5933        
  3158      4814        
  3257      5568        
  1375      5333        
  3427      4085        
  1809      5248        
  2697      5095        
  2435      5084        
  2768      4508        
  2537      4331        
  3075      5991        
  4372      3798        
  1961      3948        
  2489      5237        
  1402      3740        
  3336      3812        
  2868      5012        
  2893      4442        
  1573      5587        
  1911      4165        
  2700      5147        
  2448      5193        
  2748      5151        
  2919      4879        
  4494      6017        
  2679      5124        
  1086      3872        
  1558      3672        
  2881      5308        
  2675      5143        
  2973      5240        
  3201      5772        
  3105      4945        
  1701      5342        
  2428      5208        
  2483      4576        
  2442      5122        
  1852      5339        
  1845      5381        
  3374      5105        
  3240      5135        
  1740      5146        
  4295      4064        
  2145      4362        
  1775      5348        
  2720      5148        
  1678      5595        
  3134      4450        
  3124      4378        
  2718      5126        
  1887      3798        
   457      2810        
  1707      4325        
  2265      3957        
  3508      3750        
  2727      4370        
  2854      4738        
  3687      4112        
  2853      5203        
  1526      4165        
  1887      5264        
  1523      3788        
  2710      5073        
  1964      5375        
  2847      4950        
  1850      5242        
  1825      5380        
  1129      4222        
  1952      3835        
  1682      5148        
  1843      4723        
  2711      5151        
  2840      4900        
  3233      4543        
  1882      5297        
  2776      4858        
  1433      4353        
  1781      5301        
  2642      5120        
  2823      5008        
  2762      5196        
  1138      4115        
  3555      3819        
  1785      5259        
  3099      4544        
  3292      5083        
  1407      5460        
  3089      4836        
  1584      5038        
  3196      5148        
  1641      3717        
  3302      5561        
  3051      5227        
  1158      4333        
  2609      5077        
  2210      4135        
  2655      5133        
  2511      5210        
  3012      5432        
  3162      5213        
  2387      4361        
  1850      5292        
  4466      6021        
  3542      4708        
  1902      5145        
  2372      5104        
  2686      5147        
   375      2847        
  3021      5616        
  1733      4285        
  1942      4484        
  3377      4565        
  3066      5387        
  3187      4541        
  1859      5091        
  1832      4811        
  2224      4145        
  3724      4048        
  2746      5137        
  2785      4799        
  2547      5144        
  2445      5042        
  1417      4335        
  2534      6038        
  1932      3827        
  4376      6152        
  1612      4032        
  1792      5250        
  3103      5099        
  2948      5132        
  2507      5157        
  3210      5409        
  3022      4555        
  1835      4282        
  2826      5000        
  2012      4950        
  4364      3794        
  1790      5715        
  1153      5190        
  1840      5500        
  1387      3668        

  8000000
  
   30000000 
    30000000
    30000000
    30000000
    30000000
    30000000
    30000000
    30000000
    30000000
    30000000
    
    7393809
    3289537
    2905108
    2649459
    2113003
    1688267
    1543498
    1497666
    1302045
    1239057
    1161053
    1096056
     993279
     992711
     985858
     966829
     958816
     898434
     815086
     787447
     757441
     741945
     719518
     704488
     684792
     645529
     628840
     609383
     607018
     589863
     589077
     588292
     575426
     574662
     568314
     558139
     539294
     528153
     517661
     516780
     503710
     486771
     466629
     444358
     444085
     444068
     421807
     420316
     413617
     409807
     409310
     407815
     406192
     394307
     387603
     380505
     380250
     375480
     368589
     366319
     365968
     351115
     350654
     337834
     334120
     333447
     331739
     322016
     319380
     319081
     316079
     311761
     309144
     305918
     295042
     290384
     287790
     283571
     279538
     278840
     278059
     277487
     272086
     271387
     270455
     268286
     266662
     266426
     266019
     265514
     263562
     259033
     258113
     256108
     256064
     255118
     252342
     249899
     245267
     244899
     243991
     242390
     241039
     240251
     238886
     238207
     232814
     231702
     229952
     229368
     227917
     224423
     223028
     222675
     222442
     221902
     220744
     219012
     218385
     216552
     214511
     213209
     211498
     211484
     211033
     209549
     207753
     205494
     202977
     201287
     200997
     200663
     200550
     199781
     199196
     198391
     195932
     195073
     194646
     193428
     193319
     192138
     191939
     190591
     189687
     189005
     188302
     187621
     187241
     186032
     
     5000
      5000
      5000
      5000
      5000
      5000
      5000
      5000
      5000
      5000
      
0

1

